OPEN,CLOSE,HIGH,LOW,VALUE,VOLUME,BEGIN,END,SECID
568.8,572.8,579.8,565.2,668091266.0,1165070,2016-01-13 00:00:00,2016-01-13 23:59:59,NVTK
567.8,576.1,577.0,560.7,505678759.0,889580,2016-01-14 00:00:00,2016-01-14 23:59:59,NVTK
574.1,543.7,577.0,537.9,1514199645.0,2732040,2016-01-15 00:00:00,2016-01-15 23:59:59,NVTK
540.1,559.5,563.7,535.1,582130737.0,1051760,2016-01-18 00:00:00,2016-01-18 23:59:59,NVTK
564.5,561.8,584.6,555.4,817556598.0,1431840,2016-01-19 00:00:00,2016-01-19 23:59:59,NVTK
555.6,553.7,555.6,540.0,1273953035.0,2331170,2016-01-20 00:00:00,2016-01-20 23:59:59,NVTK
553.0,568.1,572.1,552.9,879241685.0,1554020,2016-01-21 00:00:00,2016-01-21 23:59:59,NVTK
580.0,593.5,602.0,569.0,1480205542.0,2528400,2016-01-22 00:00:00,2016-01-22 23:59:59,NVTK
597.5,595.7,600.0,581.0,657077194.0,1110470,2016-01-25 00:00:00,2016-01-25 23:59:59,NVTK
590.0,577.0,600.0,575.8,884569669.0,1512250,2016-01-26 00:00:00,2016-01-26 23:59:59,NVTK
578.4,600.0,602.7,577.6,763157901.0,1286800,2016-01-27 00:00:00,2016-01-27 23:59:59,NVTK
599.5,618.4,622.9,599.0,1467156553.0,2393210,2016-01-28 00:00:00,2016-01-28 23:59:59,NVTK
620.1,639.2,639.2,615.1,1087371924.0,1733300,2016-01-29 00:00:00,2016-01-29 23:59:59,NVTK
639.0,630.0,644.2,629.6,874182013.0,1372750,2016-02-01 00:00:00,2016-02-01 23:59:59,NVTK
629.0,622.1,639.3,621.0,792383177.0,1258200,2016-02-02 00:00:00,2016-02-02 23:59:59,NVTK
619.9,613.0,626.1,613.0,724280334.0,1170910,2016-02-03 00:00:00,2016-02-03 23:59:59,NVTK
630.0,636.0,642.4,620.2,1100031818.0,1744420,2016-02-04 00:00:00,2016-02-04 23:59:59,NVTK
